date,Johor,Kedah,Kelantan,Melaka,Negeri_Sembilan,Pahang,Pulau_Pinang,Perak,Perlis,Sabah,Sarawak,Selangor,Terengganu,W.P._Kuala_Lumpur,W.P._Labuan,W.P._Putrajaya
25/1/2020,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26/1/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/1/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28/1/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/1/2020,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/1/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/1/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/2/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/2/2020,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
5/2/2020,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
6/2/2020,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7/2/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/2/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9/2/2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10/2/2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11/2/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/2/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/2/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/2/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15/2/2020,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
16/2/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17/2/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18/2/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/2/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20/2/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21/2/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22/2/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23/2/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24/2/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25/2/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
